        "213","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12351","Lengua extranjera profesional: inglés, 2","1"
        "214","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12352","Proyecto de educación y control ambiental","1"
        "215","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12353","Técnicas de educación ambiental","1"
        "216","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-645t","Coordinación - Tutoría","1"
        "217","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5456","Destinos turísticos","1"
        "218","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5463","Dirección de entidades de intermediación turística","1"
        "219","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5447","Estructura del mercado turístico","1"
        "220","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5458","Formación y orientación laboral","1"
        "221","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5457","Recursos turísticos","1"
        "222","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5234","Empresa e iniciativa emprendedora","1"
        "223","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5235","Formación en centros de trabajo","1"
        "224","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5236","Gestión de productos turísticos","1"
        "225","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5225","Inglés  Global","1"
        "226","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5224","Marketing turístico","1"
        "227","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5223","Protocolo y relaciones públicas (LOE)","1"
        "228","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5239","Proyecto de agencias de viajes y gestión de eventos","1"
        "229","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5228","Segunda lengua extranjera: Francés Global","1"
        "230","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-5237","Venta de servicios turísticos","1"
        "231","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-643t","Coordinación - Tutoría","1"
        "232","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5283","Formación y orientación laboral","1"
        "233","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5274","Fundamentos de hardware.","1"
        "234","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5275","Gestión de bases de datos.","1"
        "235","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5272","Implantación de sistemas operativos.","1"
        "236","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5286","Lengua extranjera profesional: inglés 1","1"
        "237","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5276","Lenguajes de marcas y sistemas de gestión de información.","1"
        "238","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5273","Planificación y administración de redes.","1"
        "239","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5054","Administración de sistemas gestores de bases de datos.","1"
        "240","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5051","Administración de sistemas operativos.","1"
        "241","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5058","Empresa e iniciativa emprendedora","1"
        "242","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5059","Formación en centros de trabajo","1"
        "243","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5053","Implantación de aplicaciones web.","1"
        "244","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5061","Lengua extranjera profesional: inglés 2","1"
        "245","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5056","Proyecto de administración de sistemas informáticos en red.","1"
        "246","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5055","Seguridad y alta disponibilidad.","1"
        "247","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-5052","Servicios de red e Internet.","1"
        "248","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-681t","Coordinación - Tutoría","1"
        "249","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5290","Bases de datos","1"
        "250","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5293","Entornos de desarrollo","1"
        "251","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5173","Formación y Orientación Laboral","1"
        "252","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5176","Lengua Extranjera profesional: Inglés 1","1"
        "253","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5288","Lenguajes de marcas y sistemas de gestión de información","1"
        "254","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5291","Programación","1"
        "255","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5289","Sistemas informáticos","1"
        "256","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5066","Acceso a datos","1"
        "257","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5068","Desarrollo de interfaces","1"
        "258","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5074","Empresa e iniciativa emprendedora","1"
        "259","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5075","Formación en centros de trabajo","1"
        "260","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5077","Lengua Extranjera profesional: Inglés 2","1"
        "261","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5070","Programación de servicios y procesos","1"
        "262","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5069","Programación multimedia y dispositivos móviles","1"
        "263","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5072","Proyecto de desarrollo de aplicaciones multiplataforma","1"
        "264","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-5071","Sistemas de gestión empresarial","1"
        "265","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-97t","Coordinación  - Tutoría","1"
        "266","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13932","Configuración de infraestructuras de sistemas de telecomunicaciones","1"
        "267","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13929","Elementos de sistemas de telecomunicaciones","1"
        "268","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13931","Formación y orientación laboral","1"
        "269","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13926","Gestión de proyectos de instalaciones de telecomunicaciones","1"
        "270","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13927","Lengua Extranjera  profesional: Inglés 1","1"
        "271","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13930","Sistemas de telefonía fija y móvil","1"
        "272","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13928","Sistemas informáticos y redes locales","1"
        "273","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13933","Técnicas y procesos en infraestructuras de telecomunicaciones","1"
        "274","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13934","Empresa e iniciativa emprendedora","1"
        "275","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13939","Formación en centros de trabajo","1"
        "276","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13938","Lengua Extranjera profesional: Inglés 2","1"
        "277","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13941","Proyecto de Sistemas de Telecomunicaciones e Informáticos","1"
        "278","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13937","Redes telemáticas","1"
        "279","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13936","Sistemas de producción audiovisual (LOE)","1"
        "280","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13935","Sistemas de radiocomunicaciones","1"
        "281","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-13940","Sistemas integrados y hogar digital","1"
        "282","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-630t","Coordinación - Tutoría","1"
        "283","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-5324","Anatomofisiología  y Patología básicas","1"
        "284","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-5327","Dispensación de productos farmacéuticos","1"
        "285","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-5325","Disposición y venta de productos","1"
        "286","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-5332","Formación y orientación laboral","1"
        "287","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-5326","Oficina de Farmacia","1"
        "288","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-5329","Operaciones básicas de laboratorio","1"
        "289","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-5323","Primeros auxilios","1"
        "290","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-4969","Dispensación de productos parafarmacéuticos","1"
        "291","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-4974","Empresa e iniciativa emprendedora","1"
        "292","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-4975","Formación en centros de trabajo","1"
        "293","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-4971","Formulación magistral","1"
        "294","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-4972","Promoción de la salud","1"
        "295","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-618t","Coordinación - Tutoría","1"
        "296","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-5319","Anatomofisiología y patología básicas","1"
        "297","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-5316","Apoyo psicológico en situaciones de emergencia","1"
        "298","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-5313","Atención sanitaria inicial en situaciones de emergencia","1"
        "299","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-5312","Dotación sanitaria","1"
        "300","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-5315","Evacuación y traslado de pacientes","1"
        "301","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-5320","ES - Formación y orientación laboral","1"
        "302","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-5310","Mantenimiento mecánico preventivo del vehículo","1"
        "303","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-4955","Atención sanitaria especial en situaciones de emergencia","1"
        "304","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-4962","Empresa e iniciativa emprendedora","1"
        "305","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-4963","Formación en centros de trabajo","1"
        "306","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-4952","Logística sanitaria en emergencias","1"
        "307","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-4958","Planes de emergencia y dispositivos de riesgos previsibles","1"
        "308","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-4959","Tele emergencia","1"
        "309","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-618t","Coordinación - Tutoría","1"
        "310","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-5319","Anatomofisiología y patología básicas","1"
        "311","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-5316","Apoyo psicológico en situaciones de emergencia","1"
        "312","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-5313","Atención sanitaria inicial en situaciones de emergencia","1"
        "313","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-5312","Dotación sanitaria","1"
        "314","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-5315","Evacuación y traslado de pacientes","1"
        "315","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-5320","Formación y orientación laboral","1"
        "316","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-5310","Mantenimiento mecánico preventivo del vehículo","1"
        "317","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-4955","Atención sanitaria especial en situaciones de emergencia","1"
        "318","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-4962","Empresa e iniciativa emprendedora","1"
        "319","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-4963","Formación en centros de trabajo","1"
        "320","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-4952","Logística sanitaria en emergencias","1"
        "321","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-4958","Planes de emergencia y dispositivos de riesgos previsibles","1"
        "322","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-4959","Tele emergencia","1"
        "323","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-687t","Coordinación - Tutoría","1"
        "324","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5381","Apoyo domiciliario","1"
        "325","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5382","Atención sanitaria","1"
        "326","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5379","Atención y apoyo psicosocial","1"
        "327","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5378","Características y necesidades de las personas en situación de dependencia","1"
        "328","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5384","Formación y orientación laboral","1"
        "329","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5375","Primeros auxilios","1"
        "330","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5128","Apoyo a la comunicación","1"
        "331","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5131","Atención higiénica","1"
        "332","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5125","Destrezas sociales (LOE)","1"
        "333","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5133","Empresa e iniciativa emprendedora","1"
        "334","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5134","Formación en centros de trabajo","1"
        "335","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5124","Organización de la atención a las personas en situación de dependencia","1"
        "336","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-5135","Teleasistencia","1"
        "337","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-687t","Coordinación - Tutoría","1"
        "338","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5381","Apoyo domiciliario","1"
        "339","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5382","Atención sanitaria","1"
        "340","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5379","Atención y apoyo psicosocial","1"
        "341","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5378","Características y necesidades de las personas en situación de dependencia","1"
        "342","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5384","Formación y orientación laboral","1"
        "343","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5375","Primeros auxilios","1"
        "344","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5128","Apoyo a la comunicación","1"
        "345","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5131","Atención higiénica","1"
        "346","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5125","Destrezas sociales (LOE)","1"
        "347","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5133","Empresa e iniciativa emprendedora","1"
        "348","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5134","Formación en centros de trabajo","1"
        "349","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5124","Organización de la atención a las personas en situación de dependencia","1"
        "350","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-5135","Teleasistencia","1"
        "351","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-140t","Coordinación - Tutoría","1"
        "352","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5433","Autonomía personal y salud infantil.","1"
        "353","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5436","Desarrollo cognitivo y motor.","1"
        "354","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5432","Didáctica de la Educación Infantil.","1"
        "355","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5434","El juego infantil y su metodología.","1"
        "356","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5442","Formación y orientación laboral.","1"
        "357","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5445","Lengua extranjera profesional: inglés 1","1"
        "358","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5441","Primeros auxilios.","1"
        "359","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5212","Desarrollo socioafectivo.","1"
        "360","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5218","Empresa e iniciativa emprendedora.","1"
        "361","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5210","Expresión y comunicación.","1"
        "362","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5219","Formación en centros de trabajo","1"
        "363","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5213","Habilidades sociales (LOE)","1"
        "364","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5214","Intervención con familias y atención a menores en riesgo social.","1"
        "365","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5221","Lengua extranjera profesional: inglés 2","1"
        "366","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-5215","Proyecto de atención a la infancia.","1"
        "367","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-140t","Coordinación - Tutoría","1"
        "368","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5433","Autonomía personal y salud infantil.","1"
        "369","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5436","Desarrollo cognitivo y motor.","1"
        "370","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5432","Didáctica de la Educación Infantil.","1"
        "371","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5434","El juego infantil y su metodología.","1"
        "372","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5442","Formación y orientación laboral.","1"
        "373","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5445","Lengua extranjera profesional: inglés 1","1"
        "374","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5441","Primeros auxilios.","1"
        "375","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5212","Desarrollo socioafectivo.","1"
        "376","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5218","Empresa e iniciativa emprendedora.","1"
        "377","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5210","Expresión y comunicación.","1"
        "378","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5219","Formación en centros de trabajo","1"
        "379","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5213","Habilidades sociales (LOE)","1"
        "380","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5214","Intervención con familias y atención a menores en riesgo social.","1"
        "381","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5221","Lengua extranjera profesional: inglés 2","1"
        "382","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-5215","Proyecto de atención a la infancia.","1"
        "383","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-768t","Coordinación - Tutoría","1"
        "384","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7878","Apoyo a la intervención educativa","1"
        "385","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7874","Contexto de la intervención social","1"
        "386","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-8339","Formación y orientación laboral","1"
        "387","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7875","Inserción sociolaboral","1"
        "388","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7884","Lengua extranjera profesional: Inglés 1","1"
        "389","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7877","Mediación comunitaria","1"
        "390","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7882","Primeros auxilios","1"
        "391","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7879","Promoción de la autonomía personal","1"
        "392","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7892","Atención a las unidades de convivencia","1"
        "393","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7902","Empresa e iniciativa emprendedora","1"
        "394","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7889","Formación en centros de trabajo","1"
        "395","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7793","Formación y orientación laboral ERRÓNEO","0"
        "396","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7899","Habilidades sociales (LOE)","1"
        "397","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7885","Lengua extranjera profesional: Inglés 2","1"
        "398","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7897","Metodología de la intervención social (LOE)","1"
        "399","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7901","Proyecto de integración social","1"
        "400","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-7896","Sistemas aumentativos y alternativos de comunicación","1"
        "401","Top/Miscelánea/Formación profesorado","moodle-para-fp-distancia","Moodle 4 para FP a distancia. Digitalización A.O","0"
        "402","Top/Miscelánea/Pruebas","pruebas","Pruebas","0"
        "403","Top/Miscelánea/Formación profesorado","actualizacion-moodle-fp-distancia","Actualización de Moodle 4 para la FP a distancia","0"
        "404","Top/Miscelánea/Pruebas","STI_Inglés_1","(STI) Lengua Extranjera profesional: Inglés 1","0"
        "405","Top/Miscelánea/Pruebas","Interno","Pruebas_Internas","0"
        "406","Top/Miscelánea/Pruebas","restauraciones","Restauraciones","0"
        "407","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13954","Comercio electrónico","1"
        "408","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13953","Formación en centros de trabajo","1"
        "409","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13952","Gestión de un pequeño comercio","1"
        "410","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13951","Servicios de atención comercial","1"
        "411","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13950","Técnicas de almacén","1"
        "412","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13949","Venta técnica","1"
        "413","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-627t","Coordinación - Tutoría","1"
        "414","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-5349","Aplicaciones ofimáticas","1"
        "415","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-5355","SMR - Formación y orientación laboral","1"
        "416","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-5359","SMR - Lengua extranjera profesional: inglés 1","1"
        "417","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-5347","Montaje y mantenimiento de equipos","1"
        "418","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-5351","Redes locales","1"
        "419","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-5348","Sistemas operativos monopuesto","1"
        "420","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-4995","Aplicaciones Web","1"
        "421","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-4997","SMR - Empresa e iniciativa emprendedora","1"
        "422","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-4998","Formación en centros de trabajo","1"
        "423","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-5001","SMR - Lengua extranjera profesional: inglés 2","1"
        "424","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-4993","Seguridad informática","1"
