        "49","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-5347","Montaje y mantenimiento de equipos","1"
        "50","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-5351","Redes locales","1"
        "51","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-5348","Sistemas operativos monopuesto","1"
        "52","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-4995","Aplicaciones Web","1"
        "53","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-4997","SMR - Empresa e iniciativa emprendedora","1"
        "54","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-4998","Formación en centros de trabajo","1"
        "55","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-5001","Lengua extranjera profesional: inglés 2","1"
        "56","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-4993","Seguridad informática","1"
        "57","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-4994","Servicios en red","1"
        "58","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-4991","Sistemas operativos en red","1"
        "59","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-700t","Coordinación  - Tutoría","1"
        "60","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13948","Aplicaciones informáticas para el comercio","1"
        "61","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13947","Dinamización del punto de venta","1"
        "62","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13946","AC - Formación y orientación laboral","1"
        "63","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13945","Gestión de compras","1"
        "64","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13944","Inglés","1"
        "65","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13943","Marketing en la actividad comercial","1"
        "66","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-13942","Procesos de venta","1"
        "67","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-83t","Coordinación_CI - Tutoría","1"
        "68","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5417","Formación y Orientación Laboral","1"
        "69","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5409","Gestión administrativa del comercio internacional","1"
        "70","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5407","CI - Gestión económica y financiera de la empresa","1"
